Address Suffix,Hostname Suffix,Direction,UN M.49 Region Code,Region Name,Fraction Encrypted
0101.co.jp,0101.co.jp,inbound,001,World,0
04auto.biz,01auto.biz,inbound,001,World,0
0bz.biz,hmts.jp,inbound,001,World,0
1-day.co.nz,1-day.co.nz,inbound,001,World,0
104.com.tw,104.com.tw,inbound,001,World,0.091112
1105info.com,1105info.com,inbound,001,World,0
1111.com.tw,1111.com.tw,inbound,001,World,0
123.com.tw,123.com.tw,inbound,001,World,0
12manage.com,netarrest.com,inbound,001,World,0.99998
160by2.us,160by2.us,inbound,001,World,0
160by2inbox.com,160by2inbox.com,inbound,001,World,0
160by2invite.com,160by2invite.com,inbound,001,World,0
160by2mail.com,160by2mail.com,inbound,001,World,0
163.com,163.com,inbound,001,World,0.711306
163.com,netease.com,outbound,001,World,1
17life.com.tw,17life.com.tw,inbound,001,World,0
1800flowersinc.com,1800flowersinc.com,inbound,001,World,0
1800petmeds.com,1800petmeds.com,inbound,001,World,0.00599
1lejend.com,asumeru.com,inbound,001,World,0
1lejend.com,asumeru001.com,inbound,001,World,0
1sale.com,1sale.com,inbound,001,World,0
1v1y.com,euromsg.net,inbound,001,World,0
2touchbase.com,infimail.com,inbound,001,World,0
33go.com.tw,33go.com.tw,inbound,001,World,0
3suisses.be,3suisses.be,inbound,001,World,0
3suisses.fr,3suisses.fr,inbound,001,World,0
4shared.com,4shared.com,inbound,001,World,0.999946
4wheelparts.com,4wheelparts.com,inbound,001,World,0
518.com.tw,518.com.tw,inbound,001,World,0
6pm.com,6pm.com,inbound,001,World,1
6pm.com,zappos.com,inbound,001,World,0.782581
7net.com.tw,7net.com.tw,inbound,001,World,0
99acres.com,99acres.com,inbound,001,World,0
9dot9digital.in,emce2.in,inbound,001,World,0
a8.net,a8.net,inbound,001,World,0
aaa.com,nextjump.com,inbound,001,World,0
aaas-science.org,aaas-science.org,inbound,001,World,0
aafes.com,aafes.com,inbound,001,World,0
aanotifier.nl,aanotifier.nl,inbound,001,World,0
aarp.org,aarp.org,inbound,001,World,0.006249
ab0.jp,altovision.co.jp,inbound,001,World,0
abercrombie-email.com,abercrombie-email.com,inbound,001,World,0
abercrombiekids-email.com,abercrombie-email.com,inbound,001,World,0
about.com,about.com,inbound,001,World,2.4e-05
about.com,sailthru.com,inbound,001,World,0
academy-enews.com,academy-enews.com,inbound,001,World,0
accenture.com,outlook.com,inbound,001,World,1
accountonline.com,accountonline.com,inbound,001,World,0.348991
acehelpfulemails.com,teradatadmc.com,inbound,001,World,0
acemserv.com,acemserv.com,inbound,001,World,0
activesafelist.com,zoothost.com,inbound,001,World,0
activetrail.com,atmailsvr.net,inbound,001,World,0
activetrail.com,mymarketing.co.il,inbound,001,World,0
actorsaccess.com,nonfatmedia.com,inbound,001,World,0
adchiever.com,kinder-rash-marketing.com,inbound,001,World,0
adidas.com,neolane.net,inbound,001,World,0
adidasusnews.com,adidasusnews.com,inbound,001,World,0
adityabirla.com,adityabirla.com,inbound,001,World,0.006468
adjockeys.com,thomas-j-brown.com,inbound,001,World,0
admail.hu,sanomaonline.hu,inbound,001,World,0
admastersafelist.com,zoothost.com,inbound,001,World,0
adminforfree.com,adminforfree.com,inbound,001,World,1
adminforfree.net,adminforfree.com,inbound,001,World,1
administrativejobinsider.com,administrativejobinsider.com,inbound,001,World,0
adobe.com,obsmtp.com,inbound,001,World,0.999986
adobesystems.com,adobesystems.com,inbound,001,World,0
adorama.com,adorama.com,inbound,001,World,0
adoreme.com,exacttarget.com,inbound,001,World,0
adp.com,adp.com,inbound,001,World,1
adpirate.net,thomas-j-brown.com,inbound,001,World,0
adsender.us,adsender.us,inbound,001,World,0
adsolutionline.com,adsolutionline.com,inbound,001,World,0
adtpulse.com,adtpulse.com,inbound,001,World,0
adultfriendfinder.com,friendfinder.com,inbound,001,World,0
advanceauto.com,bigfootinteractive.com,inbound,001,World,0
advantagebusinessmedia.com,advantagebusinessmedia.com,inbound,001,World,0
adverts.ie,adverts.ie,inbound,001,World,1
advfn.com,advfn.com,inbound,001,World,0.635382
ae.com,ae.com,inbound,001,World,0
aexp.com,aexp.com,inbound,001,World,1
af.mil,af.mil,inbound,001,World,0.996166
affairalert.com,iverificationsystems.com,inbound,001,World,0
agnitas.de,agnitas.de,inbound,001,World,0.999277
agoda-emails.com,agoda-emails.com,inbound,001,World,0
agora.co.il,1host.co.il,inbound,001,World,0
agorafinancial.com,agorafinancial.com,inbound,001,World,0
agrupemonos.cl,agrupemonos.cl,inbound,001,World,1
airbnb.com,airbnb.com,inbound,001,World,0.867975
airbrake.io,mailgun.net,inbound,001,World,1
airfarewatchdog.com,smartertravelmedia.com,inbound,001,World,0.011961
airliquide.com,airliquide.com,inbound,001,World,1
airmiles.ca,bigfootinteractive.com,inbound,001,World,0
airtel.com,airtel.in,inbound,001,World,0.064377
akcijatau.lt,akcijatau.lt,inbound,001,World,0
alarm.com,alarm.com,inbound,001,World,0
alarmnet.com,alarmnet.com,inbound,001,World,0
